ID,file,shape,size_B,size_GB,total_spaxels,available_spaxels,status
IC3392,/scratch/pawsey1308/mauve/cubes/v3tk/IC3392_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits,"(3761, 438, 437)",6478928640,6.034,191406,96287,ok
IC3392,/scratch/pawsey1308/mauve/cubes/v3tk/IC3392_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits.gz,"(3761, 438, 437)",2574814244,2.398,191406,96287,ok
NGC4064,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4064_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits,"(3761, 665, 566)",12740448960,11.865,376390,183080,ok
NGC4064,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4064_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits.gz,"(3761, 665, 566)",4864232438,4.530,376390,183080,ok
NGC4189,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4189_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits,"(3761, 319, 598)",6457129920,6.014,190762,180181,ok
NGC4189,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4189_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits.gz,"(3761, 319, 598)",4712226122,4.389,190762,180181,ok
NGC4192,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4192_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits,"(3761, 1629, 1092)",60212928960,56.078,1778868,529623,ok
NGC4192,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4192_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits.gz,"(3761, 1629, 1092)",14141359071,13.170,1778868,529623,ok
NGC4254,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4254_PHANGS_DATACUBE_native.fits,"(3761, 1190, 1012)",40763710080,37.964,1204280,1050103,ok
NGC4293,/scratch/pawsey1308/mauve/cubes/v3tk/NGC4293_DATACUBE_FINAL_WCS_Pall_mad_red_v3tk.fits,"(3761, 532, 923)",16621107840,15.480,491036,265491,ok
