User: rhuang
Most recent finished jobs: all
Start time filter: now-7weeks

JobID      JobName                  State      End                 ReqCPU  Alloc   EffCores  EffReq(%) EffAlloc(%) ReqMem    AveRSS    MaxRSS    Mem(%)  
---------- ------------------------ ---------- ------------------- ------- ------- --------- --------- ---------- --------- --------- --------- --------
43725396   NGC4254_v3tk_v7.6.8      COMPLETED  Ystday 20:04        128     256     0.98      0.76%     0.38%      980GiB    47.8GiB   143GiB    14.64%  
43723004   NGC4254_v3tk_v7.6.8      COMPLETED  Ystday 18:03        128     256     0.98      0.77%     0.38%      980GiB    74.6GiB   149GiB    15.23%  
43722457   NGC4254_v3tk_v7.6.8      COMPLETED  Ystday 17:40        128     256     0.96      0.75%     0.38%      980GiB    74.8GiB   150GiB    15.26%  
43641498   NGC4254_v3tk_v7.6.8      COMPLETED  4 Jun 21:19         128     256     0.97      0.75%     0.38%      980GiB    75.5GiB   151GiB    15.41%  
43641317   NGC4293_v3tk_v7.6.8_SFH_CaTonly COMPLETED  4 Jun 21:12         128     256     81.32     63.53%    31.77%     230GiB    30.6GiB   61.1GiB   26.56%  
43640406   NGC4293_v3tk_v7.6.8_SFH_CaTonly CANCELLED  4 Jun 21:05         128     0       0.00      0.00%     0.00%      220GiB    N/A       N/A       N/A%    
43640404   NGC4064_v3tk_v7.6.8_SFH_CaTonly COMPLETED  4 Jun 21:08         128     256     87.87     68.65%    34.32%     220GiB    32.1GiB   64.2GiB   29.19%  
43640400   NGC4254_v3tk_v7.6.8      COMPLETED  4 Jun 21:00         128     256     0.97      0.76%     0.38%      980GiB    74.9GiB   150GiB    15.29%  
43548512   NGC4298_v3tk_v7.6.8      CANCELLED  3 Jun 14:04         128     0       0.00      0.00%     0.00%      980GiB    N/A       N/A       N/A%    
43545197   NGC4569_v3tk_v7.6.8      COMPLETED  4 Jun 12:32         128     256     90.07     70.36%    35.18%     980GiB    309GiB    618GiB    63.08%  
43495920   NGC4330_v3tk_v7.6.8      COMPLETED  3 Jun 03:21         128     256     31.38     24.52%    12.26%     980GiB    174GiB    348GiB    35.55%  
43495919   NGC4298_v3tk_v7.6.8      COMPLETED  3 Jun 20:12         128     256     117.19    91.55%    45.78%     980GiB    64.4GiB   129GiB    13.13%  
43330802   IC3392_v3tk_v7.6.8_bintest COMPLETED  28 May 10:48        128     256     38.54     30.11%    15.05%     220GiB    21.0GiB   63.1GiB   28.69%  
43330510   IC3392_v3tk_v7.6.8_bintest FAILED     28 May 10:21        128     256     0.20      0.16%     0.08%      220GiB    19.2GiB   38.4GiB   17.47%  
43300739   IC3392_v3tk_v7.6.8_spaxeltest COMPLETED  27 May 20:27        128     256     27.31     21.33%    10.67%     220GiB    62.7GiB   125GiB    56.98%  
43276978   NGC4396_v3tk_v7.6.8      COMPLETED  30 May 00:38        128     256     4.62      3.61%     1.81%      980GiB    179GiB    358GiB    36.53%  
