# Galaxy  RA       DEC        EBV
  NGC4189 183.4478 13.4263   0.0284
  NGC4192 183.4524 14.8992   0.0301
  NGC4222 184.094  13.307    0.0271
  NGC4254 184.707  14.4182   0.0334
  NGC4294 185.3242 11.5109   0.0292
  NGC4321 185.7282 15.8259   0.0225
  NGC4351 186.0054 12.2042   0.0248
  NGC4383 186.3561 16.4699   0.0203
  NGC4535 188.5844 8.1982    0.0166
  NGC4654 190.9865 13.1257   0.0224
  NGC4216 183.9758 13.1486   0.0273
  NGC4298 185.388  14.6055   0.0303
  NGC4302 185.426  14.5992   0.0304
  NGC4330 185.8206 11.3678   0.0209
  NGC4396 186.4986 15.6695   0.0224
  NGC4402 186.5306 13.1125   0.0249
  NGC4424 186.7987 9.4206    0.0178
  NGC4501 187.9972 14.4197   0.0327
  NGC4522 188.4155 9.1741    0.0178
  NGC4567 189.1378 11.2581   0.0280
  NGC4568 189.1431 11.2394   0.0279
  NGC4694 192.0628 10.9835   0.0332
  NGC4698 192.0958 8.4875    0.0223
  IC3392  187.1803 14.9993   0.0317
  NGC4064 181.0469 18.4442   0.0182
  NGC4293 185.3061 18.3842   0.0340
  NGC4380 186.3423 10.0167   0.0203
  NGC4388 186.4442 12.6629   0.0285
  NGC4394 186.4819 18.2145   0.0257
  NGC4405 186.5296 16.181    0.0210
  NGC4419 186.7348 15.0476   0.0284
  NGC4450 187.1218 17.0846   0.0240
  NGC4457 187.2459 3.5706    0.0187
  NGC4548 188.861  14.4955   0.0326
  NGC4569 189.2088 13.1653   0.0403
  NGC4579 189.431  11.8182   0.0350
  NGC4580 189.4516 5.3684    0.0207
  NGC4606 190.2401 11.9121   0.0273
  NGC4607 190.3016 11.886    0.0272
  NGC4689 191.9403 13.7617   0.0196
